,carat,cut,color,clarity,depth,table,price,x,y,z
27094,2.52,Ideal,I,SI1,61.5,56.0,17231,8.76,8.69,5.37
27122,2.26,Ideal,H,SI2,62.2,56.0,17312,8.38,8.35,5.2
25921,2.33,Ideal,I,VS2,62.4,57.0,15073,8.52,8.47,5.31
27220,2.36,Ideal,H,SI2,62.2,55.0,17569,8.51,8.56,5.3
23580,2.72,Ideal,H,I1,59.6,55.0,11594,9.17,9.13,5.45
25627,2.5,Ideal,J,SI2,64.0,55.0,14502,8.56,8.48,5.46
25626,2.29,Ideal,J,SI2,62.8,56.0,14500,8.36,8.39,5.25
25579,2.54,Ideal,G,SI2,62.5,55.0,14421,8.75,8.69,5.45
27496,2.3,Ideal,I,VS2,62.6,56.0,18190,8.45,8.4,5.27
27634,2.4,Ideal,H,SI2,62.0,55.0,18541,8.6,8.57,5.32
27631,2.32,Ideal,G,SI2,61.0,58.0,18532,8.5,8.54,5.2
27324,2.43,Ideal,I,SI2,62.3,59.0,17856,8.54,8.61,5.34
25456,2.3,Ideal,H,SI2,62.6,57.0,14215,8.4,8.35,5.25
24258,2.4,Ideal,J,SI1,62.0,57.0,12468,8.53,8.47,5.27
27621,2.37,Ideal,J,SI1,61.9,55.0,18508,8.53,8.56,5.29
24297,3.22,Ideal,I,I1,62.6,55.0,12545,9.49,9.42,5.92
25415,2.36,Ideal,H,SI2,61.8,56.0,14146,8.57,8.53,5.28
24328,3.5,Ideal,H,I1,62.8,57.0,12587,9.65,9.59,6.03
27541,2.3,Ideal,H,SI2,61.6,56.0,18304,8.48,8.52,5.24
25267,2.28,Ideal,G,SI2,61.6,57.0,13907,8.44,8.37,5.18
24434,2.54,Ideal,I,SI2,61.4,54.0,12687,8.83,8.78,5.41
24483,2.28,Ideal,J,SI1,61.6,57.0,12755,8.5,8.43,5.21
24545,2.26,Ideal,G,SI2,61.9,57.0,12831,8.44,8.36,5.2
24580,2.48,Ideal,I,SI2,62.3,57.0,12883,8.64,8.58,5.36
25154,2.29,Ideal,J,SI2,61.8,56.4,13726,8.4,8.5,5.23
27555,2.27,Ideal,G,SI1,61.1,60.0,18343,8.46,8.42,5.16
24612,2.27,Ideal,I,SI2,60.5,55.0,12939,8.63,8.53,5.19
27561,2.6,Ideal,J,SI2,62.5,56.0,18369,8.81,8.76,5.49
27566,2.4,Ideal,H,SI2,62.0,55.0,18374,8.57,8.6,5.32
24813,2.29,Ideal,J,SI2,62.3,57.0,13200,8.39,8.43,5.24
27456,2.45,Ideal,J,VS2,60.4,56.0,18113,8.72,8.81,5.3
27454,2.3,Ideal,H,SI2,62.6,54.0,18108,8.42,8.46,5.28
24147,2.3,Ideal,J,SI1,62.3,57.0,12316,8.41,8.34,5.22
26909,2.49,Ideal,J,SI1,63.8,54.0,16915,8.56,8.49,5.45
25775,2.3,Ideal,G,SI2,61.4,57.0,14744,8.51,8.48,5.22
26908,2.63,Ideal,J,SI2,62.1,57.0,16914,8.83,8.88,5.5
27396,2.39,Ideal,I,VS2,62.2,55.0,17955,8.58,8.56,5.33
27448,2.32,Ideal,H,SI1,62.6,57.0,18080,8.46,8.52,5.32
27430,2.51,Ideal,I,SI2,58.4,62.0,18037,8.87,8.79,5.15
23889,2.4,Ideal,I,SI2,62.8,57.0,11988,8.52,8.49,5.34
27334,2.32,Ideal,J,VS1,62.5,54.5,17891,8.44,8.47,5.28
27582,2.26,Premium,H,SI1,60.3,58.0,18426,8.56,8.51,5.15
26974,2.32,Premium,J,VS2,62.4,57.0,17053,8.48,8.4,5.27
27598,2.5,Premium,I,SI2,59.0,60.0,18447,8.76,8.89,5.21
27521,2.52,Premium,I,SI1,58.5,59.0,18252,8.9,8.87,5.2
27522,2.53,Premium,H,SI1,62.1,59.0,18254,8.83,8.73,5.45
27523,2.51,Premium,I,SI2,62.3,57.0,18255,8.76,8.69,5.44
27227,2.53,Premium,H,SI2,59.6,59.0,17591,8.9,8.82,5.29
27731,2.55,Premium,I,VS1,61.8,62.0,18766,8.7,8.65,5.36
27238,2.48,Premium,I,SI2,63.0,62.0,17607,8.62,8.58,5.42
26915,2.53,Premium,J,SI2,62.6,57.0,16934,8.77,8.67,5.46
26942,2.31,Premium,I,SI2,58.8,58.0,17000,8.7,8.64,5.1
27583,2.29,Premium,J,IF,61.4,60.0,18426,8.45,8.49,5.2
27246,2.39,Premium,I,VS1,61.2,60.0,17642,8.63,8.6,5.27
26940,2.27,Premium,J,VS1,62.4,58.0,16994,8.36,8.41,5.23
27612,2.57,Premium,J,SI1,63.0,58.0,18485,8.77,8.65,5.49
27551,2.49,Premium,I,SI2,61.2,56.0,18325,8.76,8.7,5.34
27253,2.29,Premium,H,SI2,62.5,58.0,17666,8.43,8.37,5.25
27256,2.28,Premium,I,SI1,61.6,58.0,17673,8.43,8.46,5.2
27354,2.57,Premium,D,SI2,58.9,58.0,17924,8.99,8.94,5.28
27657,2.42,Premium,J,VS2,61.3,59.0,18615,8.61,8.58,5.27
26932,3.0,Premium,I,SI2,60.7,59.0,16970,9.3,9.14,5.6
27650,2.29,Premium,J,IF,61.4,60.0,18594,8.49,8.45,5.2
27336,2.28,Premium,H,SI2,62.1,59.0,17892,8.4,8.44,5.23
26922,2.28,Premium,H,SI2,61.9,61.0,16954,8.42,8.32,5.18
27726,2.36,Premium,H,SI2,59.4,58.0,18745,8.69,8.75,5.18
27178,2.31,Premium,J,VS1,62.3,61.0,17451,8.55,8.43,5.29
27016,2.71,Premium,E,SI2,60.4,59.0,17146,9.13,9.03,5.48
27674,2.43,Premium,J,VS2,62.2,57.0,18692,8.63,8.54,5.34
27179,2.51,Premium,J,SI1,59.6,60.0,17452,8.84,8.79,5.25
27489,2.52,Premium,F,SI2,60.6,60.0,18179,8.78,8.7,5.3
27638,3.04,Premium,I,SI2,59.3,60.0,18559,9.51,9.46,5.62
27433,2.28,Premium,H,SI2,62.1,59.0,18055,8.44,8.4,5.23
27679,3.51,Premium,J,VS2,62.5,59.0,18701,9.66,9.63,6.03
27663,2.29,Premium,I,VS2,60.8,60.0,18653,8.47,8.5,5.16
27513,2.3,Premium,I,VS2,61.8,60.0,18239,8.47,8.39,5.21
27514,3.01,Premium,I,SI2,60.2,59.0,18242,9.36,9.31,5.62
27119,2.35,Premium,I,SI2,61.1,58.0,17294,8.63,8.56,5.25
27118,2.35,Premium,I,SI2,59.9,58.0,17294,8.68,8.61,5.18
27107,2.42,Premium,I,VS1,59.8,59.0,17262,8.8,8.78,5.26
27005,2.57,Premium,E,SI2,61.3,60.0,17116,8.82,8.73,5.38
27204,2.52,Premium,H,SI2,62.4,57.0,17522,8.72,8.66,5.43
27085,2.31,Premium,I,SI2,62.9,58.0,17218,8.43,8.34,5.27
27624,2.38,Premium,H,VS1,60.9,59.0,18522,8.62,8.59,5.24
27080,2.6,Premium,J,SI2,58.3,61.0,17209,9.05,8.94,5.24
27416,2.51,Premium,J,VS2,62.2,58.0,18020,8.73,8.67,5.41
27066,2.56,Premium,J,SI1,61.4,58.0,17186,8.76,8.73,5.37
27639,2.38,Premium,J,VS2,62.1,58.0,18559,8.54,8.49,5.29
27684,3.01,Premium,J,SI2,60.7,59.0,18710,9.35,9.22,5.64
27685,3.01,Premium,J,SI2,59.7,58.0,18710,9.41,9.32,5.59
27027,2.42,Premium,J,VS2,61.3,59.0,17168,8.61,8.58,5.27
27026,2.42,Premium,J,VS2,61.3,59.0,17168,8.61,8.58,5.27
27407,2.35,Premium,H,SI1,62.6,60.0,17999,8.42,8.38,5.26
27017,2.27,Premium,J,VS1,62.4,58.0,17149,8.41,8.36,5.23
27421,2.32,Premium,I,SI1,61.2,58.0,18026,8.57,8.52,5.23
27212,2.29,Premium,H,VS2,61.6,60.0,17539,8.45,8.43,5.2
26588,2.4,Premium,J,SI1,59.7,58.0,16304,8.75,8.71,5.21
26882,2.48,Premium,I,VS2,60.1,58.0,16820,8.83,8.76,5.29
25460,3.01,Premium,G,SI2,59.8,58.0,14220,9.44,9.37,5.62
25532,2.55,Premium,I,SI2,62.9,58.0,14351,8.7,8.59,5.44
25539,2.27,Premium,I,SI1,61.0,58.0,14362,8.42,8.4,5.19
25563,2.35,Premium,J,VS1,60.7,60.0,14399,8.64,8.6,5.23
25648,2.51,Premium,H,SI2,59.3,61.0,14543,8.81,8.77,5.21
25649,2.51,Premium,H,SI2,60.6,61.0,14543,8.88,8.68,5.29
25727,2.38,Premium,G,SI2,62.4,58.0,14648,8.59,8.47,5.32
25732,2.53,Premium,H,SI2,62.6,60.0,14659,8.66,8.55,5.39
25737,2.32,Premium,J,SI2,62.5,58.0,14666,8.47,8.43,5.28
25738,2.32,Premium,J,SI2,59.0,59.0,14666,8.69,8.64,5.11
25435,2.35,Premium,I,SI1,61.8,58.0,14185,8.58,8.44,5.26
25759,2.33,Premium,J,SI1,59.9,59.0,14711,8.7,8.65,5.2
25768,2.43,Premium,I,SI2,62.2,60.0,14727,8.59,8.53,5.33
25818,2.37,Premium,I,VS2,61.6,56.0,14837,8.7,8.6,5.33
25859,2.27,Premium,I,SI2,62.5,59.0,14937,8.45,8.39,5.26
25874,2.47,Premium,I,SI2,62.5,56.0,14970,8.65,8.6,5.39
25900,2.8,Premium,I,SI2,61.1,59.0,15030,9.03,8.98,5.5
25964,2.53,Premium,H,SI2,61.1,57.0,15148,8.82,8.76,5.37
25998,4.01,Premium,I,I1,61.0,61.0,15223,10.14,10.1,6.17
25999,4.01,Premium,J,I1,62.5,62.0,15223,10.02,9.94,6.24
26047,2.41,Premium,H,SI2,58.7,61.0,15248,8.85,8.76,5.17
26085,2.41,Premium,J,VS1,61.1,60.0,15320,8.66,8.6,5.27
25762,2.54,Premium,H,SI2,61.3,58.0,14717,8.8,8.7,5.36
26088,2.31,Premium,J,SI1,61.1,60.0,15323,8.58,8.51,5.22
25401,2.29,Premium,G,SI2,62.5,59.0,14108,8.38,8.33,5.22
25338,2.3,Premium,H,SI2,60.6,59.0,14042,8.4,8.37,5.08
22399,2.77,Premium,H,I1,62.6,62.0,10424,8.93,8.83,5.56
22428,3.05,Premium,E,I1,60.9,58.0,10453,9.26,9.25,5.66
22440,2.46,Premium,E,SI2,59.7,59.0,10470,8.82,8.76,5.25
22578,2.63,Premium,J,I1,62.3,61.0,10628,8.81,8.76,5.47
22670,2.38,Premium,J,SI2,60.6,59.0,10716,8.66,8.63,5.24
22872,2.32,Premium,I,SI2,62.1,58.0,10913,8.47,8.43,5.25
22997,2.3,Premium,I,SI2,61.3,58.0,11051,8.53,8.46,5.21
23218,2.26,Premium,H,SI2,61.9,58.0,11226,8.37,8.33,5.17
23612,2.33,Premium,J,SI1,61.1,58.0,11638,8.6,8.56,5.24
23939,2.5,Premium,H,SI2,62.7,59.0,12071,8.65,8.61,5.41
25339,2.3,Premium,H,SI2,60.6,59.0,14042,8.4,8.37,5.08
24114,2.31,Premium,H,SI2,62.1,58.0,12269,8.55,8.47,5.29
24181,2.38,Premium,J,SI1,62.4,58.0,12364,8.54,8.46,5.31
24273,2.3,Premium,J,SI1,59.6,59.0,12499,8.61,8.56,5.12
24673,2.44,Premium,I,SI2,61.4,56.0,13027,8.74,8.7,5.35
24816,3.0,Premium,G,I1,59.7,60.0,13203,9.42,9.26,5.58
25053,2.3,Premium,J,SI2,59.7,58.0,13560,8.63,8.68,5.17
25055,2.41,Premium,I,SI2,60.7,59.0,13563,8.7,8.64,5.26
25142,2.29,Premium,G,SI2,60.1,58.0,13711,8.63,8.58,5.17
25230,2.31,Premium,H,SI2,59.2,61.0,13831,8.65,8.57,5.1
25258,2.26,Premium,H,SI2,61.1,57.0,13885,8.45,8.4,5.15
25275,2.28,Premium,H,SI1,59.3,58.0,13919,8.6,8.56,5.09
24131,3.24,Premium,H,I1,62.1,58.0,12300,9.44,9.4,5.85
26104,2.29,Premium,G,SI2,62.4,60.0,15366,8.41,8.36,5.23
27749,2.29,Premium,I,VS2,60.8,60.0,18823,8.5,8.47,5.16
26552,2.32,Premium,F,SI2,62.5,59.0,16237,8.51,8.44,5.3
26462,2.37,Premium,H,SI2,62.3,57.0,16021,8.55,8.5,5.31
26592,2.65,Premium,G,SI2,62.0,61.0,16314,8.82,8.75,5.45
26496,2.31,Premium,J,VVS1,62.1,58.0,16100,8.49,8.42,5.25
26644,2.51,Premium,J,SI2,59.3,58.0,16427,8.87,8.83,5.25
26616,2.28,Premium,J,VS2,62.4,58.0,16369,8.45,8.35,5.24
26523,2.28,Premium,J,VS1,60.3,58.0,16174,8.58,8.53,5.16
26534,3.67,Premium,I,I1,62.4,56.0,16193,9.86,9.81,6.13
26535,2.58,Premium,H,SI2,62.6,57.0,16195,8.77,8.73,5.48
26536,2.42,Premium,J,SI2,62.3,58.0,16198,8.63,8.55,5.35
26537,2.42,Premium,J,SI2,58.5,59.0,16198,8.85,8.82,5.17
26538,2.42,Premium,J,SI2,62.4,58.0,16198,8.58,8.53,5.34
26560,2.26,Premium,I,SI2,62.0,58.0,16241,8.4,8.37,5.2
26568,2.38,Premium,J,VS2,62.6,59.0,16273,8.52,8.49,5.32
26571,2.51,Premium,J,SI2,59.3,58.0,16278,8.83,8.87,5.25
27744,2.29,Premium,I,SI1,61.8,59.0,18797,8.52,8.45,5.24
26450,2.3,Premium,H,SI2,62.7,56.0,15992,8.46,8.42,5.29
26411,2.5,Premium,H,SI2,62.4,59.0,15934,8.61,8.54,5.35
26742,2.47,Premium,J,SI2,59.4,59.0,16532,8.85,8.79,5.24
26604,2.35,Premium,H,SI2,62.3,58.0,16340,8.51,8.44,5.28
26870,2.4,Premium,F,SI2,62.6,59.0,16797,8.53,8.49,5.33
26756,2.28,Premium,J,VS2,62.9,58.0,16564,8.42,8.34,5.27
26399,2.39,Premium,H,SI1,61.8,58.0,15917,8.57,8.52,5.28
26404,2.4,Premium,J,SI1,59.7,58.0,15920,8.75,8.71,5.21
26313,2.34,Premium,I,SI1,61.7,60.0,15818,8.59,8.53,5.28
26803,2.39,Premium,H,SI1,60.6,58.0,16687,8.65,8.58,5.22
26819,2.48,Premium,I,SI1,61.0,60.0,16715,8.68,8.61,5.27
26792,2.38,Premium,H,SI1,58.2,60.0,16643,8.81,8.78,5.12
26129,2.75,Premium,H,SI2,60.5,61.0,15415,8.99,8.97,5.48
26127,2.28,Premium,H,SI2,62.5,58.0,15413,8.39,8.33,5.23
26137,2.26,Premium,H,SI2,61.3,60.0,15428,8.5,8.43,5.19
26288,2.27,Premium,H,SI2,60.7,59.0,15783,8.5,8.45,5.15
27586,2.44,Very Good,J,VS2,58.1,60.0,18430,8.89,8.93,5.18
26607,2.54,Very Good,H,SI2,63.5,56.0,16353,8.68,8.65,5.5
26872,2.31,Very Good,I,SI1,62.5,55.0,16801,8.43,8.5,5.29
24744,2.26,Very Good,H,SI2,63.2,58.0,13095,8.38,8.26,5.26
26977,2.31,Very Good,I,SI2,62.9,58.0,17062,8.34,8.43,5.27
22413,2.63,Very Good,J,I1,62.3,61.0,10437,8.76,8.81,5.47
24990,2.33,Very Good,H,SI2,63.2,56.0,13500,8.44,8.35,5.31
23495,2.29,Very Good,H,SI2,63.4,57.0,11502,8.4,8.33,5.3
26866,2.39,Very Good,J,VS2,62.2,60.0,16791,8.49,8.51,5.29
27620,2.32,Very Good,H,SI2,60.6,58.0,18508,8.56,8.6,5.2
26608,2.54,Very Good,H,SI2,63.5,56.0,16353,8.68,8.65,5.5
24185,2.31,Very Good,J,SI2,60.7,63.0,12369,8.52,8.48,5.16
26958,2.5,Very Good,J,SI1,62.8,57.0,17028,8.58,8.65,5.41
23960,2.54,Very Good,I,SI2,63.4,56.0,12095,8.68,8.64,5.49
23783,2.45,Very Good,J,SI2,60.6,63.0,11843,8.71,8.66,5.26
27675,2.48,Very Good,F,SI2,63.4,56.0,18692,8.64,8.55,5.45
23774,2.45,Very Good,H,SI2,63.5,58.0,11830,8.7,8.58,5.49
23097,2.34,Very Good,H,I1,62.4,55.4,11119,8.44,8.51,5.29
26743,2.44,Very Good,J,VS2,60.1,59.0,16533,8.75,8.83,5.28
24596,2.28,Very Good,H,SI2,63.3,54.0,12907,8.36,8.29,5.27
26823,2.51,Very Good,E,SI2,63.1,56.0,16717,8.65,8.6,5.44
26100,3.04,Very Good,I,SI2,63.2,59.0,15354,9.14,9.07,5.75
25202,2.26,Very Good,H,SI2,63.1,58.0,13797,8.3,8.22,5.21
26270,2.48,Very Good,H,SI2,63.3,56.0,15746,8.6,8.55,5.43
27265,2.52,Very Good,G,SI2,63.2,58.0,17689,8.65,8.61,5.45
27272,2.31,Very Good,I,SI1,62.5,55.0,17715,8.39,8.44,5.26
25950,2.35,Very Good,I,SI2,58.5,57.0,15122,8.72,8.77,5.12
27185,2.44,Very Good,J,SI1,62.9,53.0,17472,8.58,8.62,5.41
27340,2.48,Very Good,H,SI1,63.3,56.0,17893,8.6,8.55,5.43
27352,2.39,Very Good,J,VS1,59.6,60.0,17920,8.71,8.77,5.21
27176,2.48,Very Good,I,SI2,63.0,62.0,17448,8.58,8.62,5.42
26886,2.51,Very Good,J,SI1,63.8,55.0,16842,8.51,8.6,5.46
27395,2.4,Very Good,I,SI2,60.6,58.5,17955,8.59,8.67,5.24
25803,2.33,Very Good,J,VS2,61.8,59.0,14801,8.41,8.56,5.24
27405,2.54,Very Good,I,SI2,62.4,60.0,17996,8.58,8.73,5.4
25778,2.58,Very Good,D,SI2,58.9,63.0,14749,9.08,9.01,5.33
27563,2.32,Very Good,I,SI1,63.2,59.0,18371,8.55,8.44,5.37
26444,4.0,Very Good,I,I1,63.3,58.0,15984,10.01,9.94,6.31
27425,2.51,Very Good,H,SI2,63.6,58.0,18029,8.51,8.59,5.44
26468,2.28,Very Good,I,SI2,62.9,57.0,16041,8.34,8.41,5.27
27441,2.29,Very Good,I,SI1,61.8,59.0,18068,8.44,8.51,5.24
26504,2.38,Very Good,J,VS2,62.6,59.0,16126,8.49,8.52,5.32
27449,2.51,Very Good,I,SI2,62.3,57.0,18090,8.69,8.76,5.44
25675,2.3,Very Good,I,SI2,60.6,60.0,14603,8.51,8.56,5.17
26520,2.43,Very Good,H,SI2,63.2,57.0,16170,8.56,8.5,5.39
27463,2.33,Very Good,I,SI1,60.7,56.0,18119,8.55,8.61,5.21
25525,2.7,Very Good,H,SI2,63.1,56.0,14341,8.84,8.78,5.56
26118,2.54,Very Good,I,SI2,63.5,58.0,15394,8.67,8.56,5.47
27065,2.74,Very Good,H,SI2,63.3,58.0,17184,8.88,8.84,5.61
25278,2.26,Very Good,H,SI2,63.3,59.0,13923,8.35,8.26,5.25
27024,2.74,Very Good,J,SI2,61.5,62.0,17164,8.87,8.9,5.46
27424,2.26,Very Good,D,SI2,61.6,61.0,18028,8.47,8.38,5.19
25815,2.31,Very Good,J,VS2,59.7,60.0,14830,8.53,8.59,5.11
