carat,cut,color,clarity,depth,table,price,x,y,z
1.5,Fair,G,VVS2,64.8,56.0,13553,7.18,7.12,4.63
1.51,Fair,G,VS2,56.0,65.0,8794,7.68,7.57,4.27
1.5,Fair,J,VS1,60.1,61.0,7819,7.25,7.3,4.37
2.01,Fair,G,VS2,67.5,55.0,17917,7.7,7.79,5.23
3.0,Fair,I,SI2,64.8,59.0,16970,8.93,8.73,5.72
2.01,Fair,D,SI2,66.9,57.0,16086,7.87,7.76,5.23
2.0,Fair,H,SI1,65.1,59.0,13442,7.83,7.77,5.08
2.52,Fair,G,I1,66.9,57.0,10076,8.39,8.33,5.6
3.01,Fair,H,I1,56.1,62.0,10761,9.54,9.38,5.31
2.0,Fair,I,SI2,69.1,56.0,8736,7.84,7.7,5.37
1.49,Fair,F,SI1,59.6,63.0,8779,7.2,7.34,4.33
2.0,Fair,H,SI2,65.3,55.0,10752,7.88,7.79,5.12
2.51,Fair,H,SI2,64.7,57.0,18308,8.44,8.5,5.48
2.0,Fair,H,VS1,66.0,56.0,14199,7.79,7.72,5.12
1.5,Fair,E,SI2,66.3,60.0,10080,7.09,7.02,4.68
2.5,Fair,G,SI2,67.0,57.0,14194,8.36,8.29,5.58
2.02,Fair,H,SI1,66.3,57.0,13502,7.71,7.79,5.14
2.0,Fair,H,VS2,65.2,56.0,12765,7.92,7.87,5.15
2.01,Fair,I,SI2,66.9,58.0,10711,7.93,7.69,5.21
1.51,Fair,I,SI1,68.3,57.0,8355,6.95,6.87,4.72
2.0,Fair,G,SI2,66.5,56.0,14208,7.75,7.7,5.14
1.54,Fair,E,SI1,64.7,56.0,12581,7.28,7.22,4.69
1.51,Fair,I,VS2,64.6,58.0,8287,7.19,7.15,4.63
2.22,Fair,G,SI2,64.4,58.0,12508,8.32,8.15,5.3
1.51,Fair,I,VS2,64.8,60.0,8879,7.18,7.1,4.63
3.01,Fair,I,SI2,65.8,56.0,18242,8.99,8.94,5.9
2.01,Fair,H,VS2,66.1,53.0,15888,7.82,7.92,5.2
2.29,Fair,J,SI1,56.8,66.0,12811,8.79,8.69,4.96
3.01,Fair,I,SI2,65.8,56.0,18242,8.99,8.94,5.9
1.51,Fair,E,SI1,65.3,62.0,8869,7.16,7.09,4.65
2.01,Fair,F,SI1,58.6,95.0,13387,8.32,8.31,4.87
2.01,Fair,J,VS1,66.6,54.0,14402,7.76,7.92,5.22
2.02,Fair,H,SI2,56.5,61.0,14080,8.33,8.37,4.72
2.04,Fair,E,SI2,65.4,55.0,12799,7.87,7.93,5.17
2.0,Fair,I,SI2,65.9,57.0,10833,7.96,7.79,5.19
1.51,Fair,H,SI1,65.8,62.0,8260,7.1,7.06,4.66
1.72,Fair,D,SI2,64.6,58.0,8264,7.53,7.46,4.84
1.5,Fair,H,SI1,66.1,57.0,7832,7.06,6.98,4.64
2.02,Fair,J,VS1,64.6,59.0,13399,7.95,7.9,5.12
2.6,Fair,G,SI2,64.6,57.0,17027,8.6,8.55,5.54
3.4,Fair,D,I1,66.8,52.0,15964,9.42,9.34,6.27
2.01,Fair,I,SI2,66.5,61.0,10671,7.81,7.75,5.17
1.7,Fair,F,SI2,64.5,57.0,9996,7.55,7.51,4.86
2.01,Fair,H,SI2,65.8,63.0,13587,7.77,7.68,5.08
1.5,Fair,E,SI1,56.2,58.0,11489,7.71,7.6,4.3
1.51,Fair,F,SI1,65.8,56.0,8387,7.16,7.12,4.7
1.5,Fair,G,VS2,64.4,56.0,12787,7.16,7.09,4.59
1.01,Fair,D,SI2,64.6,58.0,10011,6.25,6.2,4.02
1.52,Fair,H,SI1,61.2,60.0,8818,7.39,7.29,4.49
2.58,Fair,F,SI2,65.2,59.0,12500,8.58,8.51,5.57
1.51,Fair,F,SI2,61.8,66.0,8287,7.18,7.16,4.43
2.01,Fair,H,SI2,61.2,66.0,13587,8.21,8.09,4.98
1.52,Fair,D,SI1,64.6,64.0,9704,7.18,7.16,4.63
2.0,Fair,G,VS2,67.6,58.0,18515,7.65,7.61,5.16
2.0,Fair,H,SI2,65.9,58.0,12554,7.84,7.8,5.15
1.5,Fair,G,SI1,64.5,57.0,10352,7.15,7.09,4.59
2.0,Fair,I,SI1,65.9,60.0,13764,7.8,7.73,5.12
1.98,Fair,H,VS1,58.3,69.0,12923,8.28,8.17,4.8
2.32,Fair,H,SI1,62.0,62.0,18026,8.47,8.31,5.2
2.0,Fair,G,SI2,65.1,57.0,11355,7.84,7.78,5.09
2.0,Fair,H,SI2,64.5,56.0,11655,7.93,7.86,5.09
2.0,Fair,I,VS1,66.3,54.0,12907,7.98,7.88,5.26
2.0,Fair,I,SI2,66.8,55.0,8037,7.75,7.71,5.16
2.01,Fair,E,SI2,65.5,56.0,11156,7.84,7.79,5.12
1.51,Fair,H,SI1,55.8,61.0,7509,7.72,7.63,4.28
2.01,Fair,E,SI2,62.1,66.0,14948,7.99,7.92,4.94
2.0,Fair,G,SI2,65.1,54.0,11156,7.88,7.82,5.11
1.5,Fair,I,SI1,56.7,63.0,7912,7.52,7.57,4.28
1.51,Fair,D,SI2,64.7,57.0,9555,7.17,7.24,4.66
1.5,Fair,F,SI1,64.6,60.0,11154,7.18,7.1,4.61
2.01,Fair,G,SI2,65.0,60.0,13721,7.8,7.73,5.05
1.5,Fair,H,VS1,64.8,55.0,8044,7.25,7.2,4.68
1.7,Fair,G,VS2,64.5,58.0,14860,7.51,7.43,4.82
3.0,Fair,H,I1,67.1,57.0,8044,8.93,8.84,5.97
2.1,Fair,G,SI2,65.2,56.0,13007,7.97,7.93,5.19
2.0,Fair,H,SI1,61.2,50.0,13764,8.17,8.08,4.97
2.07,Fair,D,SI2,64.5,60.0,13016,7.99,7.88,5.12
2.0,Fair,H,SI2,68.7,55.0,9549,7.9,7.67,5.35
1.5,Fair,D,SI1,65.1,59.0,10374,7.1,7.01,4.59
1.51,Fair,H,VS2,64.9,53.0,7534,7.28,7.24,4.71
2.5,Fair,F,SI2,65.8,58.0,17405,8.38,8.31,5.49
2.2,Fair,I,I1,66.3,56.0,7934,8.05,8.0,5.32
1.52,Fair,H,SI1,65.3,58.0,8001,7.14,7.1,4.65
2.0,Fair,H,SI2,55.3,65.0,11202,8.42,8.35,4.64
1.9,Fair,H,SI2,67.1,64.0,8576,7.57,7.52,5.06
1.51,Fair,G,VS1,60.8,66.0,12948,7.35,7.25,4.44
1.51,Fair,H,VS2,65.0,64.0,9452,7.1,7.03,4.59
2.0,Fair,I,SI2,65.2,59.0,10483,7.74,7.69,5.03
2.0,Fair,I,VS1,58.5,68.0,11322,8.26,8.15,4.8
2.0,Fair,I,SI2,67.7,57.0,10483,7.88,7.64,5.26
2.0,Fair,E,SI1,65.7,60.0,15330,7.7,7.8,5.09
1.51,Fair,H,SI1,66.5,56.0,8010,7.03,6.99,4.66
2.52,Fair,H,SI2,65.4,59.0,13846,8.49,8.42,5.53
2.48,Fair,I,SI2,56.7,66.0,15030,8.88,8.64,4.99
2.0,Fair,F,SI2,70.2,57.0,15351,7.63,7.59,5.34
1.43,Fair,E,SI1,65.1,56.0,7928,7.1,7.03,4.61
2.0,Fair,H,SI2,65.2,55.0,11600,7.9,7.85,5.13
2.01,Fair,J,VS2,64.9,60.0,13744,7.82,7.78,5.06
2.43,Fair,G,SI2,64.5,57.0,14975,8.41,8.36,5.41
2.1,Fair,F,SI2,59.5,69.0,16506,8.35,8.25,4.94
2.05,Fair,I,VS1,67.7,58.0,17408,7.74,7.68,5.22
2.0,Fair,J,SI1,66.4,55.0,11189,7.82,7.67,5.15
2.11,Fair,I,SI1,67.2,60.0,15282,7.86,7.8,5.26
1.5,Fair,F,VS2,65.3,57.0,13853,7.15,7.12,4.66
1.5,Fair,E,SI1,58.2,66.0,11128,7.45,7.4,4.32
1.51,Fair,I,VS2,58.8,62.0,9116,7.57,7.51,4.43
2.14,Fair,F,SI2,64.8,60.0,13825,8.11,8.0,5.22
3.65,Fair,H,I1,67.1,53.0,11668,9.53,9.48,6.38
2.06,Fair,J,VS1,64.6,58.0,14750,7.91,8.04,5.15
2.29,Fair,J,VS2,57.0,66.0,13701,8.8,8.6,4.98
1.51,Fair,D,VS2,66.0,57.0,15152,7.17,7.08,4.7
1.5,Fair,F,VVS2,64.7,53.0,16364,7.22,7.15,4.65
5.01,Fair,J,I1,65.5,59.0,18018,10.74,10.54,6.98
1.5,Fair,E,VS1,65.4,57.0,15584,7.14,7.07,4.65
1.01,Fair,E,VVS1,66.1,55.0,8529,6.19,6.1,4.06
1.76,Fair,J,VS1,56.9,66.0,9314,8.09,7.94,4.56
3.02,Fair,I,I1,65.2,56.0,10577,9.11,9.02,5.91
1.51,Fair,H,VS2,57.4,61.0,9678,7.49,7.63,4.34
1.99,Fair,H,VS2,60.5,63.0,17713,8.2,8.11,4.93
2.01,Fair,G,SI1,70.6,64.0,18574,7.43,6.64,4.69
1.5,Fair,F,SI1,64.3,58.0,10450,7.04,7.09,4.54
1.7,Fair,H,SI2,64.5,55.0,9682,7.58,7.52,4.87
1.55,Fair,H,SI2,64.6,58.0,9045,7.28,7.21,4.68
2.02,Fair,H,VS2,64.5,57.0,18565,8.0,7.95,5.14
1.51,Fair,H,VS1,58.0,67.0,11263,7.63,7.57,4.41
1.02,Fair,F,VVS1,64.6,59.0,7960,6.31,6.26,4.06
2.01,Fair,D,SI2,59.4,66.0,15627,8.2,8.17,4.86
2.03,Fair,G,SI2,64.9,59.0,14687,7.85,7.99,5.14
1.91,Fair,I,VS1,59.5,68.0,12244,8.1,7.91,4.78
1.51,Fair,E,SI1,58.4,70.0,11102,7.55,7.39,4.36
1.56,Fair,I,SI1,64.6,62.0,7950,7.26,7.23,4.68
2.02,Fair,D,SI1,65.0,55.0,16386,7.94,7.84,5.13
2.0,Fair,H,I1,66.8,57.0,8064,7.81,7.72,5.19
2.0,Fair,I,SI2,65.0,57.0,9610,8.01,7.96,5.19
2.01,Fair,G,SI2,63.8,59.0,14799,7.77,7.87,4.99
1.51,Fair,D,SI1,64.1,60.0,9293,7.18,7.11,4.58
2.02,Fair,J,SI2,67.5,59.0,9095,7.76,7.65,5.2
4.13,Fair,H,I1,64.8,61.0,17329,10.0,9.85,6.43
1.5,Fair,E,SI2,69.6,62.0,7560,6.88,6.79,4.76
1.51,Fair,H,SI1,65.4,59.0,9386,7.17,7.11,4.67
1.51,Fair,G,VS2,58.1,67.0,10553,7.59,7.49,4.38
2.0,Fair,E,SI2,59.9,61.0,15540,8.16,8.04,4.86
2.0,Fair,D,SI1,64.8,58.0,15540,7.98,7.89,5.14
2.01,Fair,J,SI1,64.4,61.0,11212,7.74,7.78,5.0
2.01,Fair,G,SI2,65.6,56.0,15562,7.89,7.84,6.16
1.5,Fair,G,SI1,65.5,58.0,8627,7.16,7.12,4.68
1.32,Fair,F,VVS1,58.0,66.0,12648,7.31,7.28,4.23
1.5,Fair,G,SI2,64.7,55.0,7972,7.16,7.13,4.62
1.54,Fair,I,SI2,64.6,56.0,7727,7.3,7.26,4.7
1.56,Fair,G,SI2,64.8,59.0,7950,7.38,7.19,4.72
1.01,Good,E,VVS1,63.1,57.0,10696,6.36,6.39,4.02
2.02,Good,I,VS2,57.9,62.0,16593,8.28,8.36,4.82
1.2,Good,D,VS2,62.4,60.0,8521,6.69,6.77,4.2
1.5,Good,H,VS2,63.6,58.0,10478,7.27,7.22,4.61
2.0,Good,J,VS2,58.0,62.0,13542,8.17,8.25,4.76
1.5,Good,H,VS2,63.9,60.0,10692,7.17,7.22,4.6
2.0,Good,J,VS2,61.4,63.0,13542,8.01,8.08,4.94
2.04,Good,J,VS2,59.6,56.0,13550,8.26,8.31,4.94
1.51,Good,E,SI1,63.5,57.0,10696,7.23,7.28,4.61
2.01,Good,D,SI2,59.9,65.0,16624,8.0,8.07,4.81
2.61,Good,I,SI2,64.2,63.0,13784,8.66,8.57,5.53
1.5,Good,D,SI2,63.8,58.0,8518,7.2,7.16,4.58
1.73,Good,E,I1,63.6,59.0,8370,7.6,7.56,4.82
1.5,Good,D,SI2,62.4,61.0,8517,7.23,7.36,4.55
2.18,Good,H,SI2,60.4,64.0,16842,8.47,8.38,5.09
1.5,Good,E,VS2,63.7,56.0,13653,7.18,7.16,4.57
2.0,Good,H,SI1,63.6,58.0,16650,7.96,7.87,5.03
1.51,Good,H,VS2,63.5,60.0,10628,7.24,7.27,4.61
2.03,Good,G,SI2,62.7,65.0,13621,8.17,7.92,5.06
1.72,Good,F,SI1,64.3,60.0,13622,7.56,7.52,4.85
1.51,Good,I,SI1,63.7,58.0,8464,7.26,7.22,4.61
1.01,Good,E,VVS1,63.1,59.0,10567,6.31,6.34,3.99
2.01,Good,I,SI1,58.8,60.0,16731,8.27,8.19,4.84
1.5,Good,G,SI1,64.2,58.0,10618,7.2,7.14,4.6
1.5,Good,G,SI1,63.7,59.0,10618,7.23,7.19,4.59
1.12,Good,F,VVS2,57.9,57.0,8430,6.86,6.83,3.96
2.01,Good,D,SI2,59.9,65.0,16776,8.07,8.0,4.81
2.32,Good,J,SI1,60.3,61.0,13654,8.56,8.52,5.15
2.01,Good,E,SI2,60.0,64.0,16733,8.17,8.09,4.88
2.01,Good,H,SI1,62.2,58.0,16737,7.99,8.05,4.99
1.2,Good,G,VS1,62.8,59.0,8442,6.64,6.7,4.19
1.59,Good,G,SI1,63.8,56.0,8441,7.41,7.34,4.71
2.0,Good,I,VS2,64.0,60.0,10640,7.9,7.83,5.04
1.2,Good,E,VS2,63.6,57.0,8380,6.74,6.68,4.27
1.5,Good,J,VS1,64.1,55.0,8467,7.23,7.13,4.6
1.5,Good,D,SI1,61.3,61.0,13603,7.32,7.39,4.51
1.75,Good,H,SI2,64.1,56.0,8385,7.59,7.55,4.85
1.2,Good,G,VS1,63.6,58.0,8387,6.59,6.56,4.18
1.5,Good,G,VS2,63.7,57.0,10669,7.29,7.25,4.63
1.51,Good,F,SI1,64.2,57.0,10514,7.09,7.2,4.59
1.66,Good,J,VS2,64.4,54.0,8496,7.45,7.54,4.83
2.01,Good,I,SI1,64.1,62.0,13587,7.94,7.85,5.06
1.2,Good,G,VS1,63.4,56.0,8442,6.7,6.74,4.26
2.02,Good,J,SI2,64.4,60.0,10666,7.87,7.93,5.09
1.5,Good,G,VS1,63.8,58.0,13720,7.21,7.12,4.57
1.52,Good,F,SI1,63.6,54.0,10664,7.33,7.22,4.63
2.0,Good,D,SI2,63.8,57.0,10528,7.93,7.88,5.04
2.18,Good,H,SI2,60.4,64.0,16690,8.38,8.47,5.09
1.5,Good,G,VS1,63.8,58.0,13596,7.12,7.21,4.57
2.02,Good,I,VS2,57.9,62.0,16789,8.25,8.3,4.79
1.51,Good,G,VS1,63.1,60.0,13686,7.24,7.3,4.59
1.01,Good,E,VVS2,63.9,58.0,8415,6.31,6.37,4.05
1.5,Good,E,SI2,64.5,58.0,8492,7.06,7.11,4.57
1.66,Good,G,VS2,63.2,56.0,15091,7.49,7.61,4.77
1.5,Good,J,VS1,60.7,61.0,8347,7.27,7.3,4.42
1.88,Good,J,SI2,57.9,59.0,8048,8.16,8.11,4.71
2.01,Good,I,VS1,62.5,56.0,17365,7.96,8.0,4.99
1.69,Good,G,VS1,58.1,58.0,17338,7.8,7.84,4.54
1.7,Good,F,VS1,57.6,63.0,17330,7.86,7.81,4.51
2.01,Good,I,VS2,59.0,64.0,11115,8.25,8.19,4.85
2.01,Good,F,SI2,64.0,58.0,17313,7.94,7.83,5.05
2.02,Good,H,SI2,59.0,61.0,13144,8.26,8.31,4.89
1.51,Good,G,VVS2,63.8,59.0,13155,7.24,7.28,4.63
1.5,Good,F,VS2,58.6,64.0,13160,7.52,7.46,4.39
1.55,Good,J,VS1,62.3,56.0,8076,7.44,7.52,4.66
2.01,Good,G,SI2,63.6,59.0,11096,7.97,7.9,5.05
1.51,Good,D,SI1,64.9,60.0,11087,7.14,7.2,4.65
1.63,Good,F,SI1,59.8,56.0,13187,7.57,7.64,4.55
1.53,Good,I,SI1,63.1,57.0,8095,7.28,7.34,4.61
1.51,Good,I,SI1,63.7,61.0,8097,7.11,7.15,4.54
1.52,Good,E,SI1,63.5,58.0,11075,7.29,7.36,4.65
1.21,Good,G,VS2,63.8,56.0,8099,6.74,6.67,4.28
2.01,Good,J,SI1,64.3,54.0,8104,8.05,7.95,5.14
1.56,Good,J,VS2,62.3,64.0,8107,7.41,7.36,4.6
1.5,Good,D,SI2,63.4,59.0,8108,7.2,7.25,4.58
1.77,Good,J,SI2,63.4,60.0,8109,7.61,7.65,4.84
1.34,Good,H,VS2,59.1,60.0,8109,7.15,7.19,4.24
2.0,Good,G,SI2,58.1,64.0,11041,8.3,8.27,4.81
1.5,Good,H,SI1,64.9,57.0,8112,7.08,7.15,4.62
2.0,Good,J,SI2,61.5,61.0,11036,7.97,8.06,4.93
1.56,Good,I,SI2,58.5,61.0,8048,7.58,7.63,4.45
1.5,Good,G,SI2,64.3,57.0,8043,7.2,7.29,4.66
2.03,Good,D,SI2,63.1,59.0,13109,8.12,7.99,5.08
1.69,Good,E,VS1,63.8,56.0,17400,7.51,7.57,4.81
2.01,Good,H,I1,61.7,63.0,7959,7.91,7.94,4.89
2.01,Good,I,SI2,63.5,60.0,12985,7.86,7.94,5.02
2.02,Good,I,VS1,57.9,63.0,17533,8.13,8.21,4.73
1.71,Good,I,VS2,58.0,60.0,11250,7.85,7.9,4.57
1.17,Good,G,VS1,60.0,64.0,7972,6.82,6.77,4.08
1.52,Good,G,VS2,63.3,57.0,11235,7.27,7.32,4.62
1.5,Good,D,SI1,56.6,64.0,7980,7.51,7.43,4.23
1.14,Good,D,IF,61.7,63.0,17499,6.64,6.74,4.13
2.01,Good,I,VS2,65.0,57.0,17497,7.85,7.99,5.15
1.51,Good,F,VS2,61.0,63.0,13010,7.32,7.39,4.49
1.7,Good,D,VS2,63.6,56.0,17485,7.56,7.5,4.79
1.71,Good,F,SI2,64.0,59.0,11225,7.53,7.44,4.79
1.7,Good,H,SI2,63.6,56.0,8115,7.51,7.56,4.79
1.51,Good,D,SI1,63.6,61.0,11212,7.1,7.25,4.56
2.0,Good,H,SI1,58.0,58.0,17447,8.21,8.26,4.78
1.02,Good,G,VVS1,63.6,58.0,8005,6.4,6.37,4.06
1.02,Good,F,VS1,62.6,54.3,8011,6.41,6.45,4.02
1.75,Good,I,VS1,58.3,59.0,13047,7.92,7.97,4.63
1.67,Good,J,SI1,58.8,61.0,8013,7.71,7.73,4.54
1.42,Good,E,SI2,60.1,61.0,8019,7.32,7.42,4.43
2.0,Good,G,SI1,63.6,61.0,17405,7.9,7.83,5.0
1.71,Good,H,VS2,63.7,58.0,13068,7.57,7.54,4.81
1.2,Good,F,VVS1,63.6,57.0,11182,6.74,6.71,4.28
1.7,Good,G,SI1,58.2,64.0,11180,7.89,7.85,4.58
1.5,Good,E,SI1,58.9,61.0,11179,7.43,7.5,4.4
1.2,Good,G,VS2,57.8,59.0,8032,7.06,7.0,4.06
1.5,Good,E,VVS2,64.3,58.0,17449,7.2,7.13,4.61
1.51,Good,G,VS1,62.4,59.0,13515,7.25,7.28,4.53
1.33,Good,D,VS2,63.6,58.0,11023,7.02,6.91,4.43
2.33,Good,G,SI2,63.9,60.0,13242,8.37,8.3,5.32
3.0,Good,I,I1,57.0,64.0,10863,9.38,9.31,5.33
1.51,Good,I,SI1,62.5,57.0,8242,7.25,7.32,4.55
1.51,Good,H,SI2,61.0,56.0,8243,7.29,7.37,4.47
1.51,Good,I,SI1,63.7,61.0,8245,7.15,7.11,4.54
1.51,Good,F,SI2,63.8,59.0,8245,7.22,7.18,4.59
1.5,Good,I,SI1,61.1,63.0,8254,7.27,7.34,4.46
2.27,Good,J,VS1,59.3,61.0,17051,8.47,8.55,5.05
1.5,Good,I,SI1,63.1,54.0,8258,7.31,7.34,4.62
1.51,Good,J,VS1,61.5,59.0,8271,7.26,7.31,4.48
1.51,Good,H,VS1,58.2,58.0,10819,7.49,7.56,4.38
1.5,Good,J,VVS2,63.3,57.0,8276,7.25,7.28,4.6
1.52,Good,G,SI2,63.0,61.0,8280,7.25,7.28,4.58
1.7,Good,J,VS2,63.6,59.0,8282,7.53,7.48,4.77
1.7,Good,I,SI1,59.3,58.0,10796,7.72,7.77,4.59
1.61,Good,E,SI2,60.9,62.0,10793,7.46,7.57,4.58
1.54,Good,H,VS1,63.1,57.0,10769,7.34,7.4,4.65
1.5,Good,F,SI1,63.4,58.0,10766,7.16,7.2,4.55
2.01,Good,I,SI1,64.1,62.0,13464,7.85,7.94,5.06
1.51,Good,H,VS2,64.2,58.5,10763,7.16,7.22,4.62
1.51,Good,I,SI1,63.7,58.0,8313,7.22,7.26,4.61
1.5,Good,I,VS2,61.9,60.0,8316,7.25,7.28,4.5
2.0,Good,H,SI2,63.6,57.0,13480,8.01,7.97,5.08
1.72,Good,F,SI1,64.3,60.0,13499,7.52,7.56,4.85
1.72,Good,F,SI1,63.2,61.0,13499,7.57,7.62,4.8
1.01,Good,D,VS1,64.1,55.0,8339,6.29,6.38,4.06
1.5,Good,E,SI1,61.3,65.0,10868,7.17,7.23,4.41
1.51,Good,E,SI2,58.9,61.0,10884,7.54,7.5,4.43
1.5,Good,H,VS2,63.9,60.0,10886,7.22,7.17,4.6
1.73,Good,E,I1,63.6,59.0,8220,7.56,7.6,4.82
1.53,Good,H,IF,63.1,57.0,13248,7.25,7.34,4.6
1.7,Good,J,VS2,63.6,59.0,8134,7.53,7.48,4.77
1.5,Good,G,SI2,57.9,61.0,8144,7.47,7.51,4.34
1.5,Good,F,VS2,63.6,59.0,10995,7.13,7.22,4.56
1.7,Good,J,VS2,64.0,58.0,8146,7.41,7.47,4.76
1.2,Good,F,VVS1,63.6,57.0,10982,6.71,6.74,4.28
1.51,Good,G,VVS2,63.8,59.0,13275,7.28,7.24,4.63
1.5,Good,I,SI1,62.9,60.0,8161,7.12,7.16,4.49
1.5,Good,H,VS2,64.3,60.0,8165,7.16,7.08,4.58
1.5,Good,H,VS2,63.9,59.0,8165,7.25,7.18,4.61
2.02,Good,I,SI1,64.3,56.0,13286,7.85,7.99,5.09
1.71,Good,E,SI1,64.0,53.0,13287,7.68,7.54,4.87
1.5,Good,D,VS2,64.1,54.0,13232,7.17,7.24,4.62
1.5,Good,F,SI2,59.7,61.0,8181,7.39,7.44,4.43
2.22,Good,I,SI1,57.8,58.0,17151,8.58,8.54,4.95
1.91,Good,I,SI2,62.8,58.0,10937,7.82,7.89,4.93
1.5,Good,G,SI2,64.3,57.0,8190,7.29,7.2,4.66
2.15,Good,G,SI2,63.8,58.0,13317,8.23,8.08,5.2
2.0,Good,E,SI2,57.3,65.0,13320,8.26,8.22,4.72
2.01,Good,E,SI2,62.3,61.0,17115,7.99,8.04,4.99
