carat,cut,color,clarity,depth,table,price,x,y,z
0.5,Fair,E,SI1,65.0,58.0,1176,4.98,4.9,3.21
0.5,Fair,F,SI1,64.7,57.0,1181,4.99,4.94,3.21
0.5,Fair,E,VS2,65.0,58.0,1188,4.96,4.92,3.21
0.5,Fair,F,I1,68.4,54.0,613,4.94,4.82,3.35
0.5,Fair,F,I1,71.0,57.0,613,4.87,4.79,3.43
0.46,Fair,I,VS2,66.8,55.0,855,4.82,4.77,3.2
0.5,Fair,E,SI1,61.7,68.0,1238,5.09,5.03,3.12
0.5,Fair,D,SI1,64.6,61.0,1238,5.05,4.95,3.23
0.5,Fair,F,VS1,56.4,62.0,1446,5.31,5.22,2.97
0.4,Fair,F,SI1,64.7,58.0,857,4.67,4.63,3.01
0.5,Fair,E,SI2,58.0,67.0,851,5.26,5.17,3.02
0.45,Fair,G,SI1,68.6,57.0,756,4.73,4.5,3.19
0.5,Fair,D,SI1,64.6,59.0,1253,4.93,4.95,3.19
0.31,Fair,F,VVS2,56.9,59.0,757,4.45,4.48,2.54
0.37,Fair,D,IF,61.2,57.0,1440,4.68,4.73,2.88
0.5,Fair,G,VS1,65.7,63.0,1257,4.97,4.87,3.23
0.5,Fair,G,VS1,67.6,56.0,1257,5.02,4.89,3.35
0.49,Fair,D,VS2,57.5,68.0,1249,5.18,5.11,2.96
0.5,Fair,G,VS2,65.1,56.0,1238,5.02,4.99,3.26
0.3,Fair,J,VS2,64.8,58.0,416,4.24,4.16,2.72
0.5,Fair,G,VS1,66.5,58.0,1234,4.99,4.9,3.29
0.5,Fair,E,SI1,66.4,58.0,1196,4.98,4.87,3.27
0.41,Fair,I,VS1,65.3,58.0,735,4.62,4.66,3.03
0.3,Fair,D,IF,60.5,57.0,1208,4.47,4.35,2.67
0.35,Fair,E,VVS2,66.2,61.0,738,4.4,4.36,2.9
0.35,Fair,E,VVS2,66.2,58.0,738,4.41,4.35,2.9
0.34,Fair,F,I1,55.8,62.0,2160,4.72,4.6,2.6
0.48,Fair,E,VS2,64.9,54.0,1215,4.94,4.92,3.2
0.31,Fair,F,VVS1,63.1,61.0,740,4.32,4.37,2.74
0.32,Fair,D,VVS1,62.4,61.0,875,4.38,4.44,2.75
0.5,Fair,F,VS2,64.9,58.0,1225,4.99,4.9,3.21
0.47,Fair,D,IF,60.6,60.0,2211,5.09,4.98,3.05
0.45,Fair,H,VVS2,65.8,56.0,1227,4.82,4.7,3.13
0.3,Fair,F,VVS2,65.5,61.0,743,4.19,4.15,2.73
0.31,Fair,F,SI1,64.7,56.0,618,4.28,4.25,2.76
0.5,Fair,E,SI2,68.6,56.0,871,4.87,4.75,3.3
0.5,Fair,F,I1,63.8,58.0,713,5.08,4.97,3.21
0.29,Fair,D,VS2,64.7,62.0,592,4.14,4.11,2.67
0.33,Fair,H,VVS2,65.1,59.0,922,4.4,4.32,2.84
0.5,Fair,H,VS2,62.4,69.0,1122,5.07,4.99,3.14
0.48,Fair,F,SI1,56.4,59.0,994,5.28,5.26,2.97
0.45,Fair,F,VS2,64.2,58.0,1037,4.9,4.75,3.1
0.49,Fair,E,VVS2,65.5,58.0,1705,4.91,4.86,3.2
0.34,Fair,F,VVS1,55.2,59.0,1040,4.72,4.77,2.62
0.29,Fair,F,SI1,55.8,60.0,1776,4.48,4.41,2.48
0.25,Fair,E,VS1,55.2,64.0,361,4.21,4.23,2.33
0.5,Fair,G,VVS2,64.9,58.0,1712,5.0,4.95,3.23
0.39,Fair,E,VS2,65.4,57.0,1049,4.61,4.54,2.99
0.5,Fair,G,VVS2,62.9,67.0,1791,5.02,4.96,3.14
0.5,Fair,D,VVS1,65.9,64.0,1792,4.92,5.03,3.28
0.46,Fair,F,SI1,66.3,56.0,984,4.86,4.79,3.2
0.43,Fair,H,SI1,62.7,66.0,984,4.78,4.72,2.98
0.37,Fair,F,SI1,65.3,56.0,527,4.53,4.47,2.94
0.3,Fair,F,VS2,64.5,55.0,662,4.31,4.19,2.74
0.5,Fair,G,SI1,65.0,59.0,1050,4.99,4.97,3.24
0.46,Fair,F,VS2,66.0,58.0,982,4.9,4.76,3.19
0.5,Fair,F,SI1,66.5,59.0,994,5.01,4.91,3.3
0.46,Fair,G,VS1,58.0,66.0,1035,5.08,5.03,2.93
0.34,Fair,E,VVS1,54.0,56.0,1012,4.8,4.76,2.58
0.35,Fair,D,VVS2,53.2,62.0,1011,4.87,4.8,2.57
0.35,Fair,F,VVS1,54.6,59.0,1011,4.85,4.79,2.63
0.42,Fair,D,SI1,64.7,61.0,675,4.7,4.73,3.05
0.3,Fair,G,VS1,64.4,61.0,673,4.2,4.16,2.69
0.45,Fair,G,VS1,66.3,56.0,1027,4.82,4.65,3.14
0.5,Fair,F,SI1,65.1,59.0,994,5.01,4.92,3.23
0.46,Fair,F,SI1,64.9,58.0,1003,4.81,4.77,3.11
0.5,Fair,F,SI2,65.5,54.0,1031,5.06,4.92,3.25
0.46,Fair,G,VS2,65.3,56.0,1002,4.83,4.76,3.13
0.5,Fair,G,VS2,65.7,57.0,1031,4.97,4.9,3.24
0.32,Fair,F,VS2,59.6,60.0,1715,4.42,4.34,2.61
0.5,Fair,G,SI2,65.6,56.0,1035,4.99,4.92,3.25
0.31,Fair,D,VVS2,54.2,65.0,997,4.61,4.58,2.49
0.5,Fair,F,SI2,65.5,54.0,1031,5.06,4.92,3.25
0.45,Fair,E,VS2,66.9,60.0,980,4.78,4.71,3.18
0.41,Fair,H,SI1,65.4,61.0,659,4.51,4.63,2.99
0.31,Fair,E,SI1,56.9,66.0,579,4.53,4.47,2.56
0.45,Fair,F,VS1,66.9,54.0,945,4.85,4.75,3.21
0.5,Fair,H,SI1,64.9,54.0,1094,5.01,4.98,3.24
0.5,Fair,E,SI1,66.5,58.0,1098,4.87,4.9,3.25
0.45,Fair,F,VS2,65.8,55.0,1102,4.81,4.73,3.14
0.5,Fair,E,VS1,55.3,65.0,1890,5.35,5.31,2.95
0.3,Fair,E,VVS2,51.0,67.0,945,4.67,4.62,2.37
0.5,Fair,E,SI2,64.7,57.0,945,4.98,4.88,3.19
0.5,Fair,G,SI1,67.1,59.0,1103,4.96,4.84,3.29
0.5,Fair,F,SI2,65.8,57.0,938,4.97,4.83,3.23
0.4,Fair,D,SI1,65.1,55.0,644,4.63,4.68,3.03
0.5,Fair,E,SI2,59.8,66.0,1114,5.18,5.09,3.07
0.31,Fair,E,VS2,55.9,62.0,581,4.6,4.56,2.56
0.5,Fair,E,SI1,65.1,58.0,1114,5.04,4.94,3.25
0.3,Fair,E,VS1,56.3,62.0,640,4.47,4.49,2.52
0.43,Fair,E,VS2,60.5,59.0,1107,4.92,4.9,2.97
0.4,Fair,H,VS2,65.1,59.0,704,4.58,4.63,3.0
0.41,Fair,D,VVS2,64.5,57.0,1089,4.68,4.65,3.01
0.5,Fair,J,VS1,66.8,57.0,949,4.89,4.84,3.25
0.4,Fair,E,VVS2,57.3,60.0,1069,4.84,4.89,2.79
0.33,Fair,F,VVS2,65.7,54.0,693,4.37,4.3,2.85
0.5,Fair,F,SI1,64.7,60.0,1069,4.99,4.84,3.18
0.46,Fair,E,VS2,66.8,61.0,1070,4.84,4.71,3.2
0.46,Fair,I,VS1,65.6,57.0,972,4.85,4.82,3.17
0.31,Fair,G,VS1,64.6,55.0,695,4.31,4.26,2.77
0.47,Fair,E,VS2,56.3,64.0,1075,5.19,5.14,2.91
0.5,Fair,G,VVS2,66.1,62.0,1659,4.92,4.88,3.24
0.5,Fair,I,VS1,66.9,56.0,969,4.85,4.81,3.23
0.5,Fair,H,SI1,62.3,60.0,1078,5.09,5.06,3.16
0.4,Fair,G,SI1,59.9,67.0,960,4.81,4.77,2.87
0.45,Fair,F,VS2,64.3,59.0,1080,4.8,4.75,3.07
0.5,Fair,G,I1,64.6,60.0,701,5.04,4.96,3.23
0.47,Fair,G,SI1,58.4,60.0,1086,5.16,5.12,3.0
0.45,Fair,E,VS2,65.8,58.0,951,4.81,4.74,3.14
0.45,Fair,F,VS2,67.0,56.0,923,4.77,4.7,3.17
0.4,Fair,G,SI1,64.7,55.0,840,4.68,4.65,3.02
0.46,Fair,D,VS1,67.3,61.0,1166,4.81,4.71,3.21
0.3,Fair,G,VVS2,64.4,58.0,819,4.21,4.17,2.7
0.41,Fair,G,VVS2,64.7,56.0,833,4.68,4.72,3.04
0.3,Fair,F,SI1,64.6,56.0,599,4.27,4.25,2.75
0.4,Fair,G,VS1,57.1,64.0,798,4.88,4.9,2.79
0.5,Fair,G,VS1,65.8,57.0,1350,5.03,4.91,3.27
0.5,Fair,E,VS2,65.4,57.0,1397,5.01,4.81,3.21
0.46,Fair,H,VS2,65.6,58.0,830,4.8,4.84,3.16
0.47,Fair,E,SI1,67.9,56.0,829,4.84,4.65,3.24
0.5,Fair,E,VS2,64.9,56.0,1397,5.01,4.95,3.23
0.5,Fair,E,VS2,66.3,55.0,1397,4.98,4.94,3.29
0.34,Fair,F,VS2,64.7,55.0,816,4.52,4.41,2.89
0.35,Fair,G,VS2,65.9,54.0,1415,5.57,5.53,3.66
0.5,Fair,H,VS2,56.3,65.0,1332,5.24,5.21,2.94
0.45,Fair,F,SI1,57.9,66.0,794,5.08,4.98,2.91
0.5,Fair,E,VS2,79.0,73.0,2579,5.21,5.18,4.09
0.5,Fair,F,VS1,62.9,68.0,1348,5.02,4.96,3.14
0.41,Fair,E,SI2,64.7,55.0,818,4.7,4.67,3.03
0.3,Fair,F,VS2,65.4,55.0,776,4.25,4.22,2.77
0.23,Fair,G,VVS2,61.4,66.0,369,3.87,3.91,2.39
0.47,Fair,E,SI1,65.2,59.0,828,4.75,4.82,3.12
0.35,Fair,G,VS2,65.9,54.0,1415,5.57,5.53,3.66
0.27,Fair,E,VS1,66.4,58.0,371,3.99,4.02,2.66
0.5,Fair,F,I1,57.5,66.0,827,5.3,5.17,3.01
0.36,Fair,F,VS1,55.3,67.0,810,4.79,4.72,2.63
0.3,Fair,E,VS1,64.5,56.0,799,4.26,4.2,2.73
0.39,Fair,E,SI1,65.6,60.0,601,4.5,4.56,2.97
0.3,Fair,D,VVS2,65.2,59.0,772,4.2,4.18,2.73
0.5,Fair,E,VS2,79.0,73.0,2579,5.21,5.18,4.09
0.45,Fair,F,SI1,66.8,59.0,794,4.79,4.63,3.16
0.5,Fair,G,VS1,67.0,61.0,1280,4.97,4.91,3.31
0.3,Fair,F,VS1,61.7,66.0,593,4.25,4.31,2.64
0.5,Fair,G,VS1,66.8,56.0,1367,4.85,4.91,3.26
0.5,Fair,D,SI1,64.6,58.0,1323,5.0,4.97,3.22
0.4,Fair,E,VS2,64.7,58.0,813,4.63,4.67,3.01
0.5,Fair,G,VS1,65.9,57.0,1373,5.0,4.87,3.25
0.5,Fair,D,VS2,66.9,57.0,1431,4.95,4.83,3.27
0.5,Fair,D,SI1,65.1,58.0,1323,5.0,4.96,3.24
0.5,Fair,F,VS2,64.6,58.0,1323,5.01,4.99,3.23
0.5,Fair,G,VS1,64.9,57.0,1271,4.98,4.94,3.22
0.22,Fair,E,VS2,65.1,61.0,337,3.87,3.78,2.49
0.48,Fair,G,VVS2,65.0,54.0,1367,4.95,4.9,3.2
0.31,Fair,E,VS2,54.2,63.0,814,4.61,4.51,2.47
0.5,Fair,F,VS2,55.8,60.0,1279,5.31,5.27,2.95
0.5,Fair,D,SI1,65.7,56.0,1323,5.01,4.97,3.28
0.3,Fair,G,VVS1,58.6,66.0,790,4.36,4.41,2.57
0.5,Fair,G,VS1,60.3,66.0,1327,5.13,5.09,3.08
0.5,Fair,D,VS2,63.7,57.0,1431,5.05,4.9,3.17
0.36,Good,E,SI2,63.7,54.0,648,4.55,4.52,2.89
0.4,Good,G,SI1,63.3,58.0,655,4.66,4.69,2.96
0.5,Good,E,SI1,64.2,59.0,1090,5.03,4.97,3.21
0.5,Good,E,SI1,64.0,56.0,1090,5.03,4.97,3.2
0.4,Good,G,SI1,63.1,56.0,655,4.72,4.75,2.99
0.39,Good,I,VS2,62.3,61.0,648,4.6,4.61,2.87
0.4,Good,E,VVS1,59.4,61.0,1088,4.8,4.83,2.86
0.46,Good,I,VVS1,63.5,57.0,1089,4.85,4.91,3.1
0.42,Good,D,SI2,63.2,57.0,653,4.75,4.77,3.01
0.5,Good,F,VS2,65.3,57.0,1339,4.93,4.97,3.23
0.4,Good,G,SI1,63.2,58.0,655,4.61,4.7,2.94
0.5,Good,H,VVS2,61.9,64.3,1362,5.01,5.03,3.11
0.41,Good,E,SI1,63.5,55.0,654,4.73,4.75,3.01
0.41,Good,J,VS1,63.7,56.0,647,4.68,4.71,2.99
0.42,Good,G,VVS2,57.7,59.8,1076,4.95,4.96,2.86
0.48,Good,G,VS2,65.4,59.0,1088,4.79,4.88,3.16
0.42,Good,F,VS1,59.9,65.0,1088,4.83,4.89,2.91
0.5,Good,E,VS2,63.3,64.0,1348,4.98,5.0,3.16
0.5,Good,E,SI2,63.7,55.0,1077,5.03,5.08,3.22
0.4,Good,F,VVS1,61.9,61.0,1349,4.71,4.73,2.92
0.5,Good,E,SI2,63.1,58.0,1077,5.05,5.09,3.2
0.5,Good,F,VS2,59.7,63.0,1354,5.08,5.1,3.04
0.31,Good,E,VS2,59.1,56.0,651,4.41,4.46,2.62
0.31,Good,H,VS1,59.2,65.0,651,4.42,4.33,2.59
0.5,Good,E,SI2,63.3,56.0,1077,5.05,5.09,3.21
0.4,Good,D,VVS2,60.8,62.0,1080,4.74,4.77,2.89
0.33,Good,D,VS2,61.8,61.0,652,4.4,4.44,2.73
0.47,Good,F,VS1,64.0,60.0,1353,4.96,4.87,3.15
0.4,Good,F,VVS1,60.6,62.0,1080,4.71,4.73,2.86
0.42,Good,H,SI1,63.6,57.0,653,4.74,4.79,3.03
0.34,Good,G,SI1,63.9,58.0,650,4.43,4.4,2.82
0.4,Good,I,VVS1,63.9,56.0,1080,4.68,4.64,2.98
0.3,Good,G,VS2,58.5,64.0,648,4.42,4.37,2.57
0.39,Good,E,VS1,57.8,58.0,1082,4.86,4.9,2.82
0.35,Good,E,SI2,63.9,55.0,491,4.48,4.5,2.87
0.3,Good,G,VS2,63.1,58.0,491,4.23,4.27,2.68
0.4,Good,F,I1,63.3,60.4,491,4.64,4.68,2.95
0.35,Good,H,SI1,63.1,58.0,491,4.46,4.51,2.83
0.31,Good,D,VS1,61.7,61.0,653,4.32,4.34,2.67
0.42,Good,D,SI2,63.1,56.0,653,4.74,4.8,3.01
0.5,Good,E,SI1,64.0,57.0,1090,5.04,4.99,3.21
0.35,Good,D,SI1,63.3,56.0,601,4.5,4.53,2.86
0.35,Good,H,SI1,63.2,57.0,504,4.48,4.51,2.84
0.47,Good,I,VVS1,61.8,62.0,1093,4.94,4.97,3.06
0.33,Good,D,SI2,63.3,53.0,492,4.39,4.42,2.79
0.5,Good,J,VVS2,64.1,57.0,1105,5.0,4.95,3.19
0.32,Good,H,VS2,63.1,55.0,505,4.33,4.36,2.74
0.5,Good,G,SI2,63.8,57.0,1107,5.02,4.98,3.19
0.32,Good,G,VS2,56.7,64.0,603,4.52,4.55,2.57
0.35,Good,D,SI1,63.3,57.0,644,4.51,4.53,2.86
0.46,Good,F,VS1,56.5,61.0,1109,5.11,5.05,2.87
0.34,Good,D,VS2,63.6,55.0,644,4.4,4.43,2.81
0.3,Good,E,VS2,59.7,63.0,603,4.32,4.35,2.59
0.4,Good,E,SI1,60.6,65.0,1110,4.74,4.71,2.86
0.46,Good,F,VS1,64.4,60.0,1113,4.88,4.9,3.15
0.33,Good,F,VS2,59.5,61.0,643,4.49,4.54,2.68
0.32,Good,I,VS1,63.2,54.0,505,4.38,4.42,2.78
0.5,Good,E,SI1,58.5,59.0,1331,5.2,5.23,3.05
0.3,Good,F,SI1,57.2,62.0,641,4.45,4.39,2.53
0.3,Good,F,SI1,63.6,55.0,641,4.33,4.28,2.74
0.38,Good,E,SI1,62.8,61.0,641,4.6,4.67,2.91
0.34,Good,E,SI1,60.5,60.1,641,4.5,4.53,2.73
0.4,Good,G,IF,59.7,62.0,1120,4.75,4.8,2.85
0.5,Good,G,SI2,62.3,64.0,1121,5.1,5.02,3.15
0.5,Good,F,VS2,64.0,57.0,1323,5.08,5.04,3.23
0.3,Good,H,VVS1,63.1,54.0,638,4.28,4.34,2.72
0.5,Good,F,SI1,63.7,61.0,1125,5.02,4.99,3.19
0.33,Good,D,SI2,63.4,56.0,492,4.4,4.43,2.8
0.5,Good,E,SI1,63.7,59.0,1090,5.07,5.01,3.21
0.32,Good,F,VS2,63.6,57.0,645,4.34,4.37,2.77
0.24,Good,F,IF,65.1,58.0,492,3.86,3.88,2.52
0.32,Good,F,VS2,63.3,57.0,602,4.34,4.38,2.76
0.5,Good,F,SI2,63.8,59.0,1094,5.02,4.95,3.18
0.41,Good,G,SI1,64.3,54.0,646,4.68,4.72,3.02
0.41,Good,F,I1,63.8,57.0,646,4.72,4.69,3.0
0.42,Good,F,SI2,64.1,56.0,646,4.76,4.72,3.04
0.32,Good,F,VS2,63.4,57.0,645,4.32,4.36,2.75
0.32,Good,G,VS1,63.2,55.0,645,4.37,4.39,2.77
0.32,Good,F,VS2,63.2,58.0,645,4.32,4.35,2.74
0.5,Good,E,SI2,58.2,59.0,1098,5.24,5.27,3.06
0.4,Good,G,SI1,63.4,58.0,655,4.66,4.71,2.97
0.5,Good,D,SI1,63.8,60.0,1333,5.0,5.03,3.2
0.5,Good,E,SI2,58.3,58.0,1101,5.23,5.2,3.04
0.23,Good,G,VVS2,63.8,56.0,428,3.94,3.9,2.5
0.5,Good,F,VS2,63.6,58.0,1333,5.02,5.05,3.2
0.23,Good,D,VVS1,60.3,66.0,425,3.91,3.95,2.37
0.32,Good,H,VVS2,63.4,56.0,645,4.34,4.37,2.76
0.3,Good,H,VS1,63.2,58.0,491,4.22,4.26,2.68
0.28,Good,F,VVS2,64.9,57.0,492,4.13,4.16,2.69
0.24,Good,F,VVS2,65.0,58.0,492,3.89,3.93,2.54
0.24,Good,E,VVS2,65.0,58.0,492,3.85,3.9,2.52
0.24,Good,F,VVS1,64.8,57.0,492,3.9,3.94,2.54
0.24,Good,E,VVS1,60.8,64.0,492,3.97,3.99,2.42
0.28,Good,E,VVS1,64.6,55.0,492,4.15,4.18,2.69
0.33,Good,G,SI1,63.2,57.0,492,4.39,4.44,2.79
0.32,Good,I,VS1,63.1,56.0,505,4.38,4.4,2.77
0.25,Good,F,VVS1,59.1,60.0,490,4.1,4.12,2.43
0.5,Good,E,VS2,57.8,60.0,1365,5.2,5.29,3.03
0.4,Good,I,SI1,63.2,54.0,596,4.67,4.69,2.96
0.4,Good,G,SI2,63.4,59.0,596,4.64,4.66,2.95
0.4,Good,D,SI1,60.3,61.0,667,4.74,4.78,2.87
0.4,Good,H,SI1,62.0,61.0,667,4.69,4.73,2.92
0.34,Good,E,SI1,63.3,56.0,596,4.41,4.44,2.8
0.34,Good,I,VVS2,63.1,56.0,596,4.43,4.47,2.81
0.43,Good,H,VVS1,61.2,61.0,1037,4.84,4.9,2.98
0.5,Good,E,VS2,64.1,58.0,1397,5.03,5.01,3.22
0.31,Good,H,VS2,63.1,57.0,489,4.27,4.32,2.71
0.31,Good,I,VS1,63.5,57.0,489,4.26,4.28,2.71
0.31,Good,H,VS2,63.1,57.0,489,4.28,4.31,2.71
0.33,Good,F,VS2,63.2,56.0,666,4.39,4.41,2.78
0.31,Good,H,VS2,63.2,57.0,489,4.32,4.35,2.74
0.3,Good,H,SI1,63.8,55.0,432,4.2,4.26,2.7
0.3,Good,H,SI1,63.1,56.0,432,4.27,4.29,2.7
0.3,Good,H,SI1,63.3,56.0,432,4.27,4.29,2.71
0.32,Good,I,SI1,63.9,55.0,432,4.34,4.36,2.78
0.39,Good,G,VVS1,61.6,61.0,1041,4.71,4.74,2.91
0.3,Good,H,SI1,63.4,60.0,432,4.23,4.25,2.69
0.32,Good,I,SI1,63.1,56.0,432,4.36,4.39,2.76
0.3,Good,H,SI1,63.7,57.0,432,4.26,4.28,2.72
0.42,Good,E,VVS2,61.9,61.0,1042,4.72,4.78,2.94
0.5,Good,F,SI1,63.1,61.0,1043,5.06,4.98,3.17
0.31,Good,J,SI1,63.5,55.0,363,4.3,4.33,2.74
0.32,Good,D,I1,64.0,54.0,361,4.33,4.36,2.78
0.33,Good,H,VS2,63.8,55.0,668,4.44,4.4,2.82
0.25,Good,E,VS1,63.3,60.0,361,3.99,4.04,2.54
0.35,Good,G,SI1,63.8,54.0,669,4.48,4.46,2.85
0.43,Good,D,SI2,63.3,57.0,669,4.79,4.82,3.04
0.5,Good,H,SI1,64.5,58.0,1017,4.97,4.99,3.21
0.3,Good,H,VS1,63.9,55.0,675,4.28,4.26,2.73
0.24,Good,F,VS1,60.2,65.0,383,3.97,4.0,2.4
0.3,Good,E,SI1,63.7,59.0,675,4.27,4.21,2.7
0.5,Good,D,VS2,64.1,61.0,1402,4.98,5.01,3.2
0.4,Good,I,SI1,63.2,55.0,596,4.68,4.72,2.97
0.34,Good,H,VS1,63.1,57.0,596,4.4,4.44,2.79
0.28,Good,F,VS1,58.3,58.0,487,4.33,4.35,2.53
0.34,Good,G,VS2,63.1,57.0,596,4.43,4.47,2.81
0.37,Good,G,SI2,63.4,57.0,487,4.55,4.57,2.89
0.37,Good,G,SI2,63.3,55.0,487,4.58,4.61,2.91
0.31,Good,I,SI1,64.3,55.0,488,4.29,4.27,2.75
0.44,Good,F,SI1,56.9,61.0,1018,5.12,5.07,2.9
0.3,Good,G,SI2,63.7,54.0,506,4.25,4.23,2.7
0.4,Good,G,SI2,60.6,55.8,672,4.76,4.82,2.91
0.3,Good,E,VVS2,59.8,64.0,1026,4.34,4.29,2.58
0.3,Good,I,SI1,64.1,57.0,506,4.3,4.25,2.74
0.41,Good,G,SI1,63.4,57.0,671,4.7,4.73,2.99
0.47,Good,H,VS1,65.1,59.0,1031,4.81,4.87,3.15
0.3,Good,I,SI1,63.8,57.0,506,4.27,4.19,2.7
0.4,Good,I,SI1,63.9,57.0,596,4.66,4.7,2.99
0.4,Good,G,SI2,63.2,56.0,596,4.7,4.73,2.98
0.43,Good,E,SI2,63.4,57.0,669,4.77,4.82,3.04
0.43,Good,D,SI2,63.1,59.0,669,4.8,4.81,3.03
0.43,Good,E,SI2,63.6,55.0,669,4.8,4.83,3.06
0.43,Good,D,SI2,63.4,57.0,669,4.78,4.81,3.04
0.23,Good,F,VS2,63.8,57.0,357,3.93,3.84,2.48
0.23,Good,E,VS2,61.8,63.0,357,3.88,3.89,2.4
0.33,Good,G,VS1,63.1,57.0,666,4.38,4.4,2.77
0.5,Good,E,VS2,64.9,59.0,1389,4.89,4.94,3.19
0.4,Good,E,VVS2,58.5,60.0,1059,4.82,4.86,2.83
0.44,Good,E,VS2,62.2,62.0,1059,4.79,4.85,3.0
0.41,Good,E,VVS2,63.1,58.0,1060,4.72,4.75,2.99
0.41,Good,J,IF,63.6,54.0,1061,4.75,4.72,3.01
0.43,Good,G,SI2,58.8,61.0,661,4.92,4.94,2.9
0.41,Good,I,VVS2,63.9,55.0,1061,4.74,4.71,3.02
0.31,Good,F,VVS2,63.6,55.0,660,4.29,4.33,2.74
0.38,Good,I,SI1,63.7,57.0,659,4.63,4.57,2.93
0.26,Good,E,VVS2,63.1,59.0,599,4.04,4.08,2.56
0.5,Good,D,SI1,61.1,64.0,1374,5.05,5.07,3.09
0.41,Good,F,SI1,64.4,56.0,659,4.69,4.72,3.03
0.45,Good,E,SI1,63.9,57.0,1063,4.86,4.81,3.09
0.41,Good,F,VVS2,63.6,56.0,1064,4.72,4.68,2.99
0.45,Good,F,VS2,56.8,62.0,1066,5.1,5.14,2.91
0.34,Good,H,SI1,63.3,56.0,490,4.45,4.46,2.82
0.43,Good,J,SI2,63.7,57.0,490,4.76,4.79,3.04
0.34,Good,H,SI1,63.7,57.0,490,4.44,4.45,2.83
0.31,Good,G,SI1,63.3,57.0,431,4.3,4.33,2.73
0.4,Good,D,SI2,64.0,56.0,599,4.64,4.7,2.99
0.31,Good,E,VS1,59.0,63.0,600,4.44,4.47,2.63
0.35,Good,H,SI2,63.2,61.0,429,4.47,4.49,2.83
0.32,Good,E,VS2,64.1,54.0,658,4.32,4.36,2.78
0.41,Good,G,I1,63.8,56.0,600,4.74,4.7,3.01
0.32,Good,D,VS2,63.6,55.0,657,4.35,4.42,2.79
0.4,Good,E,SI1,64.2,57.0,662,4.66,4.68,3.0
0.39,Good,F,VVS2,57.7,61.0,1058,4.91,4.8,2.8
0.39,Good,D,VVS2,58.1,60.0,1056,4.82,4.85,2.81
0.36,Good,D,SI1,63.1,55.0,663,4.54,4.59,2.88
0.5,Good,I,VS2,60.4,64.0,1047,5.12,5.08,3.08
0.38,Good,J,VVS2,63.4,56.0,666,4.56,4.62,2.91
0.5,Good,E,VS2,59.8,57.0,1395,5.12,5.18,3.08
0.4,Good,I,VS2,63.8,54.0,666,4.68,4.72,3.0
0.5,Good,D,SI1,63.2,59.0,1395,5.02,5.04,3.18
0.4,Good,G,VVS2,61.4,64.0,1050,4.7,4.65,2.87
0.5,Good,F,VS2,63.3,60.0,1395,4.99,5.03,3.17
0.4,Good,E,SI2,63.2,57.0,666,4.66,4.68,2.95
0.4,Good,D,SI2,63.4,56.0,666,4.67,4.73,2.98
